EIId,EIGroup,BloombergID,ReleaseName,Country,Description,ReleaseTime,Frequency,Source,Begin,QuoteUnits,Significance,DateLastDownload,StdDev,LocalTimeZone
118,105,AULFUNEM Index,AU Unemployment Rate,AU,"Australia Labor Force series.                                                   Unemployment exists when people without a job are looking for work but are      unable to find employment. Once a month, the ABS conducts a Labor Force Survey  in order to monitor the numbers of the employed, the unemployed and those are   not in the labour force. The labor force is made up of the civilian population  aged 15 years or over who are already working and people who do not have a job  but are actively looking for work and are available to start work.              The individuals in the labor force who are not employed, but who are actively   looking for work and are available to start work, are defined by the ABS as     unemployed. Actively looking for work includes writing, telephoning or applying or applying in person to an employer or registering with the Comonwealth        Employmnet Service or registering with Centrelink as a jobseeker. However,      whether a person is unemployed or not me",10:30,Monthly,Australian Bureau of Statistic,1978-02-28 12:00:00 AM,%,2,2016-01-08 11:30:09 AM,"0,164323166012764",Pacific/Port_Moresby
119,119,AIGPMI Index,AU AiG Performance of Mfg Idx,AU,"The Australian Performance of Manufacturing Index (Australian PMI) is a seasonally adjusted composite index based on the diffusion indexes for production, new orders, deliveries, inventories and employment, with varying weights. An Australian PMI reading above 50 points indicates that manufacturing is generally expanding, below 50, that it is declining. The distance from 50 is indicative of the strength of the expansion or decline.",08:30,Monthly,Australian Industry Group,1992-09-30 12:00:00 AM,,1,2016-01-08 11:30:11 AM,"5,41914844512939",Pacific/Port_Moresby
120,120,AUCNQTOT Index,AU Construction Work QoQ,AU,ABS 8755.0 Building and Construction: Tickers for AUCN contains seasonally adjusted figures in chain volume measures on the values of building and engineering construction work in Australia for selected states and territories. Data is compiled from the quarterly Building Activity and Engineering Construction Survey respectively. Index Short Names represented by QoQ\YoY refers to Quarter on Quarter\Year on Year comparisons,10:30,Quarterly,Australian Bureau of Statistic,1986-12-31 12:00:00 AM,% CHANGE,1,2016-01-08 11:30:12 AM,"2,91830658912659",Pacific/Port_Moresby
121,102,RBCPTRIY Index,AU CPI Trimmed Mean YoY,AU,"The 'Weighted Median' and 'Trimmed Mean' are calculated by the RBA using data from ABS Category Number 6401.0. Both measures exclude interest charges prior to the September quarter 1998 and are adjusted for the tax changes of 1999-2000. For calculating the 'Weighted Median' and the 'Trimmed Mean', where the CPI components are identified as having a seasonal pattern, quarterly price changes are estimated on a seasonally adjusted basis. These series are calculated using the previous quarter's effective expenditure weights. Please note that with effect from the June quarter 2007 issue, ABS is responsible for calculating the measures and will answer queries on the compilation and publication of the measures. RBA will maintain responsibility for the design of the measures and will answer queries on their design and use. The NSA series has hence been discontinued. For all indices, please run {ALLX RBCP<GO>}.                                             The 'Trimmed Mean' is calculated as the",10:30,Quarterly,Australian Bureau of Statistic,1983-03-31 12:00:00 AM,% CHANGE,1,2016-01-08 11:30:14 AM,"0,313916444778442",Pacific/Port_Moresby
122,102,RBCPWM%Q Index,AU CPI Weighted Median QoQ,AU,"The 'Weighted Median' and 'Trimmed Mean' are calculated by the RBA using data from ABS Category Number 6401.0. Both measures exclude interest charges prior to the September quarter 1998 and are adjusted for the tax changes of 1999-2000. For calculating the 'Weighted Median' and the 'Trimmed Mean', where the CPI components are identified as having a seasonal pattern, quarterly price changes are estimated on a seasonally adjusted basis. These series are calculated using the previous quarter's effective expenditure weights. Please note that with effect from the June quarter 2007 issue, ABS is responsible for calculating the measures and will answer queries on the compilation and publication of the measures. RBA will maintain responsibility for the design of the measures and will answer queries on their design and use. The NSA series has hence been discontinued. For all indices, please run {ALLX RBCP<GO>}.                                             The 'Weighted Median' is calculated usin",10:30,Quarterly,Australian Bureau of Statistic,1982-06-30 12:00:00 AM,% CHANGE,1,2016-01-08 11:30:16 AM,"0,198038429021835",Pacific/Port_Moresby
123,102,RBCPWM%Y Index,AU CPI Weighted Median YoY,AU,"The 'Weighted Median' and 'Trimmed Mean' are calculated by the RBA using data from ABS Category Number 6401.0. Both measures exclude interest charges prior to the September quarter 1998 and are adjusted for the tax changes of 1999-2000. For calculating the 'Weighted Median' and the 'Trimmed Mean', where the CPI components are identified as having a seasonal pattern, quarterly price changes are estimated on a seasonally adjusted basis. These series are calculated using the previous quarter's effective expenditure weights. Please note that with effect from the June quarter 2007 issue, ABS is responsible for calculating the measures and will answer queries on the compilation and publication of the measures. RBA will maintain responsibility for the design of the measures and will answer queries on their design and use. The NSA series has hence been discontinued. For all indices, please run {ALLX RBCP<GO>}.                                             The 'Weighted Median' is calculated usin",10:30,Quarterly,Australian Bureau of Statistic,1983-03-31 12:00:00 AM,% CHANGE,1,2016-01-08 11:30:20 AM,"0,23694121837616",Pacific/Port_Moresby
124,124,AUCABAL Index,AU Current Account,AU,"ABS 5302.0 Balance of Payments and International Investment Position: This quarterly data series contains seasonally adjusted figures of the components of Australian BOP Current account transaction, Foreign Debt Levels and selected International Accounts Ratio in chain volume measures. Current account data ratios are calculated by dividing the data for reference quarter/year for the relevant item by the corresponding current price Gross Domestic Product (GDP) or Gross National Income (GNI) value.** Sign Convention **'Balance of payments credit entries are shown with an implied positive sign and debit items are shown as negative entries. A negative sign for transactions and other flows in liabilities denotes a fall in liabilities. Transactions and other flows in assets shown without sign denote a decrease in assets.A minus sign means a decrease in credit entries, a decrease in debit entries, a decrease in a surplus or an increase in a deficit. The absence of a sign means an increase in",10:30,Quarterly,Australian Bureau of Statistic,1959-09-30 12:00:00 AM,MILLIONS,1,2016-01-08 11:30:22 AM,"1457,67578125",Pacific/Port_Moresby
125,125,AUPGOP Index,AU Gross Company Profits QoQ,AU,"ABS 5676.0  contains estimates of sales of goods and services, wages and salaries (from December 2001 issue), company profits, and the book value of inventories for selected industries in Australia. The series have been compiled from data collected by the Australian Bureau of Statistics in its Quarterly Business Indicators Survey. The survey was fully implemented in the March quarter 2001 and collects data from private sector businesses.",10:30,Quarterly,Australian Bureau of Statistic,1994-12-31 12:00:00 AM,% CHANGE,1,2016-01-08 12:09:49 PM,"3,69639372825623",Pacific/Port_Moresby
126,126,INAUQOQ Index,AU Inventories QoQ,AU,ABS Code 5676.0 This statistical data contains seasonally  adjusted(SA) quarterly estimates on the level of inventories and income derived from sales of goods and services in Australia. The data are categorized by broad industry and presented in chain volume measures. Chain volume estimates measure changes in value after the direct effects of price changes have been eliminated and therefore only reflect volume changes.,10:30,Quarterly,Australian Bureau of Statistic,1985-12-31 12:00:00 AM,% CHANGE,1,2016-01-08 11:30:26 AM,"0,923479318618774",Pacific/Port_Moresby
127,127,AUCECHG Index,AU Private Capital Expenses QoQ,AU,"ABS code 5625.0 This infomation contains data on the Actual Capital Expenditure of the Australian Private Sector categorized by Asset, State and Industry. This data excludes the following industries agriculture, forestry and fishing, public administration and safety, education and training, healthcare and social assistance, superannuation funds. Index short names indicated with SA and QoQ refers to Seasonally adjusted and Quarter on Quarter comparisons respectively. Figures provided are in Current Price terms.                                             Total private new capital expenditure/total all industries Current prices - Seasonally adjusted in millions of A$ Annually reweighted Source: Australian Bureau of Statistics Quarter on Quarter % Change ABS Code: b5625.                      History is stored independently for quarterly and yearly frequencies.           HP values for these frequencies may not match each other. Note that when only one frequency is stored in history, for th",10:30,Quarterly,Australian Bureau of Statistic,1987-12-31 12:00:00 AM,% CHANGE,2,2016-01-08 11:30:28 AM,"3,93572640419006",Pacific/Port_Moresby
128,128,OZCACRM% Index,AU Private Credit MoM,AU,"Financial aggregates are compiled by the RBA from data primarily supplied by banks and NBFIs and also incorporate data supplied by the ABS.                     Reserve Bank of Australia data series specifying measures of credit (loans and advances by financial intermediaries plus total bank bills outstanding).  Month on Month Change. Series is seasonally adjusted and growth rates are adjusted for series breaks. Data include securitised loans (housing, other personal and business).",10:30,Monthly,Reserve Bank of Australia,1976-10-31 12:00:00 AM,% CHANGE,1,2016-01-08 11:30:29 AM,"0,243655577301979",Pacific/Port_Moresby
129,129,AUWCQSA Index,AU WPI QoQ,AU,TOTAL HOURLY RATES OF PAY EXCLUDING BONUSES,10:30,Quarterly,Australian Bureau of Statistic,1997-12-31 12:00:00 AM,% CHANGE,1,2016-01-08 11:30:31 AM,"0,118199907243252",Pacific/Port_Moresby
130,129,AUWCYSA Index,AU WPI YoY,AU,TOTAL HOURLY RATES OF PAY EXCLUDING BONUSES,10:30,Quarterly,Australian Bureau of Statistic,1998-09-30 12:00:00 AM,% CHANGE,1,2016-01-08 11:30:33 AM,"0,195526897907257",Pacific/Port_Moresby
131,131,WMCCCON% Index,AU Consumer Confidence,AU,"The Westpac - Melbourne Institute Survey of Consumer Sentiment index has been designed as a trend-less variable that provides an indication of the level of and shifts in consumer sentiment over time. The index is an average of five component indexes which in turn reflect the balance of favourable and unfavourable responses to five survey questions. These questions relate to family finances a year ago and in the next 12 months, economic conditions in the next 12 months and next 5 years, and good or bad time to buy major household items. An index level of 100 indicates that the balance of confidence or optimism is equally weighted, while an index of greater than 100 indicates that optimists outnumber pessimists.  Please note that from June 2006, the seasonally adjusted series is discontinued as statistical tests indicated no significant evidence of seasonality. News stories present seasonally adjusted figures which were resumed in February 2007.",09:30,Monthly,Westpac Banking Corporation,1974-10-31 12:00:00 AM,% CHANGE,1,2016-01-08 12:09:51 PM,"4,98240995407104",Pacific/Port_Moresby
132,101,AUBAY Index,AU Building Approvals YoY,AU,"ABS Code 8731.0 Building Approval: Tickers for sector AUBA contains seasonally adjusted data on the number and value of Dwelling Units (new houses, new other residential and conversions, etc) and Buildings approval in Australia. The figures are categorized by states and territories. Seasonally adjusted statistics reflect both irregular and trend movements, an upward or downward movement in a seasonally adjusted series does not necessarily indicate a change of trend           Australian Building Approvals.                                                  Source - Australian Bureau of Statistics                                        ABS CODE: 8731                                                                  Total dwelling unit building approvals in Australia Seasonally Adjusted         Year on Year Change %",10:30,Monthly,Australian Bureau of Statistic,1983-07-31 12:00:00 AM,% CHANGE,1,2016-01-08 11:30:37 AM,"8,83889389038086",Pacific/Port_Moresby
133,133,AIGISMI Index,AU AiG Performance of Svcs Idx,AU,"The Australian Performance of Services Index (Australian PSI) is a composite index based on the diffusion indexes for sales, new orders, employment, inventories and deliveries all of varying weights. An Australian PSI reading above 50 points indicates that the service industry is generally expanding, below 50 that it is declining. The distance between 50 is indicative of the strength of the expansion or decline.",08:30,Monthly,Australian Industry Group,2003-02-28 12:00:00 AM,,1,2016-01-08 11:30:39 AM,"4,83316516876221",Pacific/Port_Moresby
201,201,CAHOMOM Index,CA Building Permits MoM,CA,The building permits survey provides an early indication of building activity.  Please refer to the Building Permits report in ECO CA <GO> to view future       scheduled releases.,08:30,Monthly,STCA - Statistics Canada,1971-02-28 12:00:00 AM,% CHANGE,2,2016-01-08 11:30:40 AM,"9,5506763458252",US/Eastern
202,202,CACPX8M Index,CA CPI CORE MoM,CA,The Consumer Price Index is a measure of the average price level of a fixed     basket of goods and services purchased by consumers.  Monthly changes in the CPI represent the rate of inflation.,08:30,Monthly,STCA - Statistics Canada,1949-02-28 12:00:00 AM,% CHANGE,3,2016-01-08 11:30:42 AM,"0,210315227508545",US/Eastern
203,202,CACPX8Y Index,CA CPI CORE YoY,CA,The Consumer Price Index is a measure of the average price level of a fixed     basket of goods and services purchased by consumers.  Monthly changes in the CPI represent the rate of inflation.,08:30,Monthly,STCA - Statistics Canada,1985-01-31 12:00:00 AM,% CHANGE,1,2016-01-08 11:30:44 AM,"0,223863452672958",US/Eastern
204,202,CACPICHG Index,CA CPI HDLN MoM,CA,The Consumer Price Index is a measure of the average price level of a fixed     basket of goods and services purchased by consumers.  Monthly changes in the CPI represent the rate of inflation.,08:30,Monthly,STCA - Statistics Canada,1914-05-31 12:00:00 AM,% CHANGE,1,2016-01-08 11:30:46 AM,"0,207418441772461",US/Eastern
205,202,CACPIYOY Index,CA CPI HDLN YoY,CA,The Consumer Price Index is a measure of the average price level of a fixed     basket of goods and services purchased by consumers.  Monthly changes in the CPI represent the rate of inflation.,08:30,Monthly,STCA - Statistics Canada,1915-01-31 12:00:00 AM,% CHANGE,1,2016-01-08 11:30:47 AM,"0,207904040813446",US/Eastern
206,206,CANLNETJ Index,CA Employment Change,CA,"Labor force characteristics for both sexes, aged 15 and over.  Please refer to  the Canada Unemployment Rate report on ECO CA <GO> to view future scheduled     releases.                                                                       This index shows the net change in CANLEMPL Index.",08:30,Monthly,STCA - Statistics Canada,1976-02-29 12:00:00 AM,THOUSANDS,3,2016-01-08 12:09:53 PM,"30,0387382507324",US/Eastern
207,207,CAITFICS Index,CA Foreign Security Purchases,CA,Canada international transactions in securities.  Please refer to the Int'l     Securities Transactions report in ECO CA <GO> to view future scheduled releases.,08:30,Monthly,STCA - Statistics Canada,1988-01-31 12:00:00 AM,Billions,1,2016-01-08 11:30:51 AM,"8,28170680999756",US/Eastern
208,206,CANLFLNC Index,CA Full Time Employment,CA,"Labor force characteristics for both sexes, aged 15 and over.  Please refer to  the Canada Unemployment Rate report on ECO CA <GO> to view future scheduled     releases.",08:30,Monthly,STCA - Statistics Canada,1976-02-29 12:00:00 AM,THOUSANDS,2,2016-01-08 11:30:53 AM,"41,2596626281738",US/Eastern
209,209,CAGDPMOM Index,CA GDP MoM,CA,"Gross Domestic Product is the broadest measure of aggregate economic activity and encompasses every sector of the economy.  Please refer to the Gross Domestic Product report in ECO CA <GO> to view future scheduled releases. NOTE: Historical data prior to 1997 is based on Constant $ and is available at {ALLX CACC}. These indices are available on a two month lag. On 1/31/13 the methodology used to calculate these tickers has changed. This data represents the historical data chained to 2007. For 2002 prices, please see ALLX CAG7<GO>.",08:30,Monthly,STCA - Statistics Canada,1997-02-28 12:00:00 AM,% CHANGE,3,2016-01-08 11:30:55 AM,"0,233351841568947",US/Eastern
210,209,CGE9ANN Index,CA GDP QoQ Annualized,CA,Please refer to ECO CA to view future scheduled release dates.                  To view the old series ticker please see {CGE29ANN Index DES <GO>}.,08:30,Quarterly,STCA - Statistics Canada,1981-03-31 12:00:00 AM,,1,2016-01-08 11:30:57 AM,"1,19241607189178",US/Eastern
211,209,CAGDPYOY Index,CA GDP YoY,CA,"Gross Domestic Product is the broadest measure of aggregate economic activity and encompasses every sector of the economy.  Please refer to the Gross Domestic Product report in ECO CA <GO> to view future scheduled releases. NOTE: Historical data prior to 1997 is based on Constant $ and is available at {ALLX CACC}. These indices are available on a two month lag. On 1/31/13 the methodology used to calculate these tickers has changed. This data represents the historical data chained to 2007. For 2002 prices, please see ALLX CAG7<GO>.",08:30,Monthly,STCA - Statistics Canada,1998-01-31 12:00:00 AM,% CHANGE,1,2016-01-08 11:30:58 AM,"0,858727216720581",US/Eastern
212,212,CAHSTOTL Index,CA Housing Starts,CA,"Housing Starts measure the number of residential units on which construction is begun each month.  Please refer to the Housing Starts report in ECO CA <GO> to  view future scheduled releases. For additional information, please visit {http://www.cmhc.ca/en/hoficlincl/homain/stda/stda_004.cfm}",08:15,Monthly,Canada Mortgage and Housing Co,1977-01-31 12:00:00 AM,THOUSANDS,1,2016-01-08 11:31:00 AM,"17,1057739257813",US/Eastern
213,213,CABROVER Index,CA Interest Rate,CA,"The Bank of Canada Overnight rate is the average rate that the Bank wants to see in the market for overnight money market financing. When the Bank changes the Overnight Rate Target, this change usually affects other interest rates, including mortgage rates and prime rates charged by commercial banks. This rate is also the most appropriate rate to use when making international comparisons. It corresponds to the U.S. fed funds target, the two-week repo rate at the Bank of England, and the minimum bid rate for refinancing operations (the Repo Rate) at the European Central Bank.",10:00,Daily,Bank of Canada,1992-12-01 12:00:00 AM,%,3,2016-01-08 11:31:02 AM,"0,303242027759552",US/Eastern
214,214,CAIPMOM Index,CA IPPI MoM,CA,"The Industrial product price indexes are not seasonally adjusted. The Industrial Product Price Index (IPPI) reflects the prices that producers in Canada receive as the goods leave the plant gate.  It does not reflect what the consumer pays.  Unlike the Consumer Price Index, the IPPI excludes indirect     taxes and all the costs that occur between the time a good leaves the plant and the time the final user takes possession of it, including the transportation,   wholesale, and retail costs. 2010 = 100.",08:30,Monthly,STCA - Statistics Canada,1956-03-31 12:00:00 AM,% CHANGE,2,2016-01-08 11:31:04 AM,"0,519725203514099",US/Eastern
215,216,IVEY Index,CA Ivey PMI,CA,"The Ivey Purchasing Managers Index is jointly sponsored by the Purchasing Management Association of Canada (PMAC) and the Richard Ivey School of Business. The Ivey Purchasing Managers Index measures month to month changes in dollars of purchases as indicated by a panel of purchasing managers from across Canada. The 175 participants in this survey have been carefully selected geographically and by sector of activity to match the Canadian economy as a whole. The index includes both the public and private sectors. Index panel members indicate whether their organizations activity is higher than the same as, or lower than the previous month across the following five categories: purchases, employment, inventories, supplier deliveries and prices.",23:59,Monthly,Purchasing Management Associat,1999-01-31 12:00:00 AM,,1,2016-01-08 11:31:06 AM,0,US/Eastern
216,216,IVEYSA Index,CA Ivey PMI SA,CA,"The Ivey Purchasing Managers Index is jointly sponsored by the Purchasing Management Association of Canada (PMAC) and the Richard Ivey School of Business. The Ivey Purchasing Managers Index measures month to month changes in dollars of purchases as indicated by a panel of purchasing managers from across Canada. The 175 participants in this survey have been carefully selected geographically and by sector of activity to match the Canadian economy as a whole. The index includes both the public and private sectors. Index panel members indicate whether their organizations activity is higher than the same as, or lower than the previous month across the following five categories: purchases, employment, inventories, supplier deliveries and prices.",10:00,Monthly,Purchasing Management Associat,2009-03-31 12:00:00 AM,,2,2016-01-08 11:31:07 AM,"6,14675378799438",US/Eastern
217,217,CALPPROD Index,CA Labor Productivity QoQ,CA,,08:30,Quarterly,STCA - Statistics Canada,1981-06-30 12:00:00 AM,% CHANGE,1,2016-01-08 11:31:09 AM,"1,51401972770691",US/Eastern
